iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,Unnamed: 67
MAC,Asia,Macao,2021-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,23.15,20546.77,39.2,9.8,4.99,104861.85,,,,,,,,84.24,,695180.0,,,,,
MAC,Asia,Macao,2021-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595.0,,,,595.0,595.0,0.09,,,,856.0,,,23.15,20546.77,39.2,9.8,4.99,104861.85,,,,,,,,84.24,,695180.0,,,,,
MAC,Asia,Macao,2021-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.0,,,,,554.0,,,23.15,20546.77,39.2,9.8,4.99,104861.85,,,,,,,,84.24,,695180.0,,,,,
MAC,Asia,Macao,2021-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.0,,,,,453.0,,,23.15,20546.77,39.2,9.8,4.99,104861.85,,,,,,,,84.24,,695180.0,,,,,
MAC,Asia,Macao,2021-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.0,,,,,403.0,,,23.15,20546.77,39.2,9.8,4.99,104861.85,,,,,,,,84.24,,695180.0,,,,,
MAC,Asia,Macao,2021-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.0,,,,,374.0,,,23.15,20546.77,39.2,9.8,4.99,104861.85,,,,,,,,84.24,,695180.0,,,,,
MAC,Asia,Macao,2021-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.0,,,,,354.0,,,23.15,20546.77,39.2,9.8,4.99,104861.85,,,,,,,,84.24,,695180.0,,,,,
MAC,Asia,Macao,2021-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.0,,,,,339.0,,,23.15,20546.77,39.2,9.8,4.99,104861.85,,,,,,,,84.24,,695180.0,,,,,
MAC,Asia,Macao,2021-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,,,,,253.0,,,23.15,20546.77,39.2,9.8,4.99,104861.85,,,,,,,,84.24,,695180.0,,,,,
MAC,Asia,Macao,2021-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,,,,,176.0,0.29,,,,253.0,,,23.15,20546.77,39.2,9.8,4.99,104861.85,,,,,,,,84.24,,695180.0,,,,,
